,mod,precision,recall,f1
0,0.0,0.271,0.015412614457146107,0.02916644244739816
1,0.12003480704831034,0.183,0.010407780242279474,0.019695420545660012
2,0.15263065539688583,0.201,0.011431496331684013,0.021632675025560995
3,0.19025066795287143,0.159,0.009042825456406757,0.017112414572458698
4,0.23247762806608788,0.156,0.008872206108172668,0.01678953882580854
5,0.2644815554708778,0.169,0.009611556617187055,0.01818866706129258
6,0.28691843968312314,0.158,0.008985952340328727,0.01700478932357531
7,0.31028547500118175,0.155,0.008815332992094638,0.016681913576925146
8,0.33274688404576036,0.161,0.009156571688562817,0.017327665070225474
9,0.3536699242091042,0.157,0.008929079224250697,0.016897164074691922
10,0.38050133590574287,0.159,0.009042825456406757,0.017112414572458698
11,0.4025077950728713,0.151,0.008587840527782517,0.01625141258139159
12,0.4269737495707827,0.177,0.010066541545811295,0.019049669052359684
13,0.44903266957257576,0.155,0.008815332992094638,0.016681913576925146
14,0.4693741635370472,0.17,0.009668429733265085,0.018296292310175967
15,0.49063781346662283,0.18,0.010237160894045385,0.019372544799009846
16,0.5109058325427225,0.178,0.010123414661889325,0.019157294301243074
17,0.5352870138882623,0.167,0.009497810385030996,0.0179734165635258
18,0.5574243816997106,0.148,0.008417221179548427,0.01592853683474143
19,0.5775068217597094,0.171,0.009725302849343115,0.018403917559059353
20,0.6001740352415517,0.175,0.009952795313655236,0.01883441855459291
21,0.6205709500023635,0.171,0.009725302849343115,0.018403917559059353
22,0.64309272112562,0.159,0.009042825456406757,0.017112414572458698
23,0.6631868478803153,0.185,0.010521526474435534,0.019910671043426788
24,0.6842511816575906,0.164,0.009327191036796906,0.01765054081687564
25,0.7061219233642326,0.172,0.009782175965421145,0.018511542807942743
26,0.7281418455144397,0.18,0.010237160894045385,0.019372544799009846
27,0.7499687735280302,0.169,0.009611556617187055,0.01818866706129258
28,0.7713754498720236,0.173,0.009839049081499174,0.01861916805682613
29,0.7922192645475973,0.175,0.009952795313655236,0.01883441855459291
30,0.8124176994919969,0.165,0.009384064152874936,0.017758166065759026
31,0.8333433890784913,0.178,0.010123414661889325,0.019157294301243074
32,0.8533436082055998,0.165,0.009384064152874936,0.017758166065759026
33,0.8733881890465949,0.175,0.009952795313655236,0.01883441855459291
34,0.8934151627948574,0.165,0.009384064152874936,0.017758166065759026
35,0.9140392883291077,0.161,0.009156571688562817,0.017327665070225474
36,0.9340501846455423,0.171,0.009725302849343115,0.018403917559059353
37,0.9540807269923794,0.184,0.010464653358357504,0.019803045794543398
38,0.9776598383685113,0.202,0.011488369447762043,0.02174030027444438
39,0.9994621998241106,0.166,0.009440937268952966,0.017865791314642415
