,mod,precision,recall,f1
0,0.0,0.273,0.015526360689302167,0.029381692945164933
1,0.12003480704831034,0.196,0.011147130751293864,0.021094548781144057
2,0.15263065539688583,0.187,0.010635272706591594,0.020125921541193564
3,0.19025066795287143,0.181,0.010294034010123415,0.019480170047893236
4,0.23247762806608788,0.156,0.008872206108172668,0.01678953882580854
5,0.2644815554708778,0.15,0.008530967411704487,0.016143787332508205
6,0.28691843968312314,0.176,0.010009668429733266,0.018942043803476295
7,0.31028547500118175,0.16,0.009099698572484787,0.017220039821342084
8,0.33274688404576036,0.144,0.008189728715236308,0.01549803583920788
9,0.3536699242091042,0.149,0.008474094295626457,0.01603616208362482
10,0.38050133590574287,0.149,0.008474094295626457,0.01603616208362482
11,0.4025077950728713,0.166,0.009440937268952966,0.017865791314642415
12,0.4269737495707827,0.16,0.009099698572484787,0.017220039821342084
13,0.44903266957257576,0.179,0.010180287777967355,0.019264919550126457
14,0.4693741635370472,0.156,0.008872206108172668,0.01678953882580854
15,0.49063781346662283,0.184,0.010464653358357504,0.019803045794543398
16,0.5109058325427225,0.18,0.010237160894045385,0.019372544799009846
17,0.5352870138882623,0.188,0.010692145822669624,0.020233546790076953
18,0.5574243816997106,0.19,0.010805892054825683,0.020448797287843726
19,0.5775068217597094,0.175,0.009952795313655236,0.01883441855459291
20,0.6001740352415517,0.152,0.008644713643860547,0.01635903783027498
21,0.6205709500023635,0.154,0.008758459876016606,0.016574288328041756
22,0.64309272112562,0.179,0.010180287777967355,0.019264919550126457
23,0.6631868478803153,0.191,0.010862765170903713,0.020556422536727115
24,0.6842511816575906,0.174,0.009895922197577206,0.018726793305709522
25,0.7061219233642326,0.193,0.010976511403059774,0.020771673034493895
26,0.7281418455144397,0.186,0.010578399590513564,0.020018296292310174
27,0.7499687735280302,0.177,0.010066541545811295,0.019049669052359684
28,0.7713754498720236,0.167,0.009497810385030996,0.0179734165635258
29,0.7922192645475973,0.167,0.009497810385030996,0.0179734165635258
30,0.8124176994919969,0.149,0.008474094295626457,0.01603616208362482
31,0.8333433890784913,0.174,0.009895922197577206,0.018726793305709522
32,0.8533436082055998,0.182,0.010350907126201445,0.019587795296776622
33,0.8733881890465949,0.171,0.009725302849343115,0.018403917559059353
34,0.8934151627948574,0.167,0.009497810385030996,0.0179734165635258
35,0.9140392883291077,0.173,0.009839049081499174,0.01861916805682613
36,0.9340501846455423,0.17,0.009668429733265085,0.018296292310175967
37,0.9540807269923794,0.158,0.008985952340328727,0.01700478932357531
38,0.9776598383685113,0.182,0.010350907126201445,0.019587795296776622
39,0.9994621998241106,0.168,0.009554683501109025,0.01808104181240919
