,mod,precision
0,0.0,0.308
1,0.12003480704831034,0.1865
2,0.15263065539688583,0.155
3,0.19025066795287143,0.166
4,0.23247762806608788,0.1605
5,0.2644815554708778,0.147
6,0.28691843968312314,0.1545
7,0.31028547500118175,0.1585
8,0.33274688404576036,0.1565
9,0.3536699242091042,0.164
10,0.38050133590574287,0.17
11,0.4025077950728713,0.1645
12,0.4269737495707827,0.1685
13,0.44903266957257576,0.1605
14,0.4693741635370472,0.1655
15,0.49063781346662283,0.1565
16,0.5109058325427225,0.174
17,0.5352870138882623,0.164
18,0.5574243816997106,0.1565
19,0.5775068217597094,0.17
20,0.6001740352415517,0.157
21,0.6205709500023635,0.166
22,0.64309272112562,0.1615
23,0.6631868478803153,0.1775
24,0.6842511816575906,0.1645
25,0.7061219233642326,0.1635
26,0.7281418455144397,0.167
27,0.7499687735280302,0.1775
28,0.7713754498720236,0.1765
29,0.7922192645475973,0.1745
30,0.8124176994919969,0.1715
31,0.8333433890784913,0.175
32,0.8533436082055998,0.178
33,0.8733881890465949,0.169
34,0.8934151627948574,0.173
35,0.9140392883291077,0.18
36,0.9340501846455423,0.1725
37,0.9540807269923794,0.176
38,0.9788620182341363,0.173
39,1.0,0.168
