,mod,precision,recall,f1
0,0.0,0.25,0.01421827901950748,0.026906312220847016
1,0.12003480704831034,0.189,0.010749018938747653,0.02034117203896034
2,0.15263065539688583,0.165,0.009384064152874936,0.017758166065759026
3,0.19025066795287143,0.162,0.009213444804640846,0.017435290319108863
4,0.23247762806608788,0.134,0.007620997554456009,0.014421783350374001
5,0.2644815554708778,0.174,0.009895922197577206,0.018726793305709522
6,0.28691843968312314,0.16,0.009099698572484787,0.017220039821342084
7,0.31028547500118175,0.171,0.009725302849343115,0.018403917559059353
8,0.33274688404576036,0.173,0.009839049081499174,0.01861916805682613
9,0.3536699242091042,0.181,0.010294034010123415,0.019480170047893236
10,0.38050133590574287,0.155,0.008815332992094638,0.016681913576925146
11,0.4025077950728713,0.149,0.008474094295626457,0.01603616208362482
12,0.4269737495707827,0.138,0.007848490018768129,0.014852284345907551
13,0.44903266957257576,0.169,0.009611556617187055,0.01818866706129258
14,0.4693741635370472,0.146,0.008303474947392368,0.015713286336974656
15,0.49063781346662283,0.18,0.010237160894045385,0.019372544799009846
16,0.5109058325427225,0.16,0.009099698572484787,0.017220039821342084
17,0.5352870138882623,0.168,0.009554683501109025,0.01808104181240919
18,0.5574243816997106,0.181,0.010294034010123415,0.019480170047893236
19,0.5775068217597094,0.163,0.009270317920718876,0.01754291556799225
20,0.6001740352415517,0.169,0.009611556617187055,0.01818866706129258
21,0.6205709500023635,0.17,0.009668429733265085,0.018296292310175967
22,0.64309272112562,0.177,0.010066541545811295,0.019049669052359684
23,0.6631868478803153,0.176,0.010009668429733266,0.018942043803476295
24,0.6842511816575906,0.158,0.008985952340328727,0.01700478932357531
25,0.7061219233642326,0.189,0.010749018938747653,0.02034117203896034
26,0.7281418455144397,0.157,0.008929079224250697,0.016897164074691922
27,0.7499687735280302,0.173,0.009839049081499174,0.01861916805682613
28,0.7713754498720236,0.178,0.010123414661889325,0.019157294301243074
29,0.7922192645475973,0.184,0.010464653358357504,0.019803045794543398
30,0.8124176994919969,0.183,0.010407780242279474,0.019695420545660012
31,0.8333433890784913,0.185,0.010521526474435534,0.019910671043426788
32,0.8533436082055998,0.176,0.010009668429733266,0.018942043803476295
33,0.8733881890465949,0.144,0.008189728715236308,0.01549803583920788
34,0.8934151627948574,0.166,0.009440937268952966,0.017865791314642415
35,0.9140392883291077,0.163,0.009270317920718876,0.01754291556799225
36,0.9340501846455423,0.177,0.010066541545811295,0.019049669052359684
37,0.9540807269923794,0.167,0.009497810385030996,0.0179734165635258
38,0.9776598383685113,0.18,0.010237160894045385,0.019372544799009846
39,0.9994621998241106,0.158,0.008985952340328727,0.01700478932357531
